순위,곡명,아티스트,앨범,앨범링크
84,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,https://music.bugs.co.kr/album/20293803?wl_ref=list_tr_11_chart
85,밤편지,아이유(IU),밤편지,https://music.bugs.co.kr/album/20089092?wl_ref=list_tr_11_chart
86,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,https://music.bugs.co.kr/album/20316388?wl_ref=list_tr_11_chart
87,2021,Lauv(라우브),2021,https://music.bugs.co.kr/album/4024260?wl_ref=list_tr_11_chart
88,Warriors,Imagine Dragons(이매진 드래곤스),Smoke + Mirrors (Deluxe),https://music.bugs.co.kr/album/536267?wl_ref=list_tr_11_chart
89,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내,https://music.bugs.co.kr/album/20310325?wl_ref=list_tr_11_chart
90,한잔이면 지워질까,황인욱,한잔이면 지워질까,https://music.bugs.co.kr/album/4018961?wl_ref=list_tr_11_chart
91,SO BAD,STAYC(스테이씨),Star To A Young Culture,https://music.bugs.co.kr/album/4013644?wl_ref=list_tr_11_chart
92,밤하늘의 저 별처럼,헤이즈(Heize),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙),https://music.bugs.co.kr/album/996710?wl_ref=list_tr_11_chart
93,밤새 (취향저격 그녀 X 카더가든),카더가든,밤새 (취향저격 그녀 X 카더가든),https://music.bugs.co.kr/album/20347347?wl_ref=list_tr_11_chart
94,Memories,Maroon 5(마룬 파이브),Memories,https://music.bugs.co.kr/album/933832?wl_ref=list_tr_11_chart
95,cheap sunglasses,John K,cheap sunglasses,https://music.bugs.co.kr/album/14707183?wl_ref=list_tr_11_chart
96,Playlist,태연 (TAEYEON),What Do I Call You - The 4th Mini Album,https://music.bugs.co.kr/album/20367316?wl_ref=list_tr_11_chart
97,CRY FOR ME,TWICE (트와이스),CRY FOR ME,https://music.bugs.co.kr/album/20368168?wl_ref=list_tr_11_chart
98,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈(MUSHVENOM),쇼미더머니 9 Final,https://music.bugs.co.kr/album/20368283?wl_ref=list_tr_11_chart
99,사랑이었나봐,기리보이,9컷,https://music.bugs.co.kr/album/4020730?wl_ref=list_tr_11_chart
100,Bonfire,Peder Elias,Bonfire,https://music.bugs.co.kr/album/916340?wl_ref=list_tr_11_chart
